KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
Antenna05,Radar Tracking Beacon,Radar Tracking Beacon,Balise de suivi radar,Monitoraggio radar,"Baliza de Seguimiento por Radar",Antena 05 (Deco),Antena 05 (Deco),Antena 05 (deko),Антенна 05 (декор),アンテナⅤ(Deco),天线 05 (装饰),天線05（裝飾）,안테나 05(데코),,,Antenne 05 (Deco),Ăng-ten 05 (Trang trí)
AntennaBlocks,Antennas,Antennen,Antennes,Antenne,"Antenas",Antenas (Deco),Antenas (Deco),Anteny (grupa),Антенны (декор),アンテナ(Deco),天线组 (装饰),天線（裝飾）,안테나(데코),,,Antennes (Deco),Ăng-ten (TTri)
BathroomCounter,Bathroom Counter,Badezimmer Unterschrank,Salle de bain Vanity,Mobile da Bagno,"Mostrador de Baño",Armário de Casa de banho,Gabinete de Banheiro,Toaletka,Ванная,バスルーム,浴室盥洗台,浴室盥洗台,욕실 세면용품,,,Badkamerkast,Bồn rửa trong phòng tắm
Bed,Double Bed,Bett 2,Lit 2,Letto 2,"Cama Doble",Cama 2,Cama 2,Łóżko 2,Кровать 2,ベッドⅡ,床 2,床2,침대 2,,,Bed 2,Giường 2
Bookshelf,Bookshelf,Bücherregal,Étagère,Libreria,"Estantería",Estante,Estante de Livros,Regał na książki,Книжный шкаф,本棚,书架,書架,책장,,,Boekenplank,Giá sách
BunkBed,Bunk Bed,Schlafkoje,Lits de camp superposés,Letto a Castello,"Litera",Beliche,Beliche,Łóżko piętrowe,Двухъярусная кровать,二段ベッド,双层床,雙層床,이층 침대,,,Stapelbed,Giường ngủ
CapacitorMS,Large Capacitor,Kondensator (Deko),Condensateur (déco),Condensatore (Deco),"Capacitor Grande",,Capacitor (Deco),Kondensator (deko),Конденсатор (декор),コンデンサ(Deco),电容器 (装饰),電容器（裝飾）,커패시터(데코),,,Condensator (Deco),Tụ điện (TTri)
CapacitorSS,Small Capacitor,Kondensator (Deko),Condensateur VL (déco),Condensatore V (Deco),"Capacitor Pequeño",Condensador NP (Deco),Capacitor NP (Deco),Kondensator SV (deko),Конденсатор МС (декор),コンデンサSV(Deco),小飞船电容器 (装饰),小型飛船電容器（裝飾）,커패시터 SV(데코),,,Condensator SV (Deco),Tụ điện SV (TTri)
ConsoleLargeMS01,Power Regulator Console,Konsole (Deko),Console (déco),Terminale (Deco),"Consola Reguladora de Energía",Consola (Deco),Console (Deco),Konsola (deko),Консоль управления (декор),コンソール(Deco),控制台 (装饰),控制台（裝飾）,콘솔(데코),,,Console (Deco),Bảng điều khiển (Trang trí)
ConsoleLargeMS01a,System Console,Konsole (Deko),Console (déco),Terminale (Deco),"Consola del Sistema",Consola (Deco),Console (Deco),Konsola (deko),Консоль управления (декор),コンソール(Deco),控制台 (装饰),控制台（裝飾）,콘솔(데코),,,Console (Deco),Bảng điều khiển (Trang trí)
ConsoleLargeMS02,Advanced System Console,Konsole (Deko),Console (déco),Terminale (Deco),"Consola Avanzada del Sistema",Consola (Deco),Console (Deco),Konsola (deko),Консоль управления (декор),コンソール(Deco),控制台 (装饰),控制台（裝飾）,콘솔(데코),,,Console (Deco),Bảng điều khiển (Trang trí)
ConsoleMapMS01,Mapping Console,Konsole (Deko),Console (déco),Terminale (Deco),"Consola de Cartografía",Consola (Deco),Console (Deco),Konsola (deko),Консоль управления (декор),コンソール(Deco),控制台 (装饰),控制台（裝飾）,콘솔(데코),,,Console (Deco),Bảng điều khiển (Trang trí)
ConsoleMS01,Computer Terminal,Konsole (Deko),Console (déco),Terminale (Deco),"Terminal de Computadora",Consola (Deco),Console (decorativo),Konsola (deko),Консоль управления (декор),コンソール(Deco),控制台 (装饰),控制台（裝飾）,콘솔(데코),,,Console (Deco),Bảng điều khiển (Trang trí)
ConsoleSmallMS01,Access Terminal,Konsole (Deko),Console (déco),Terminale (Deco),"Terminal de Acceso",Consola (Deco),Console (Deco),Konsola (deko),Консоль управления (декор),コンソール(Deco),控制台 (装饰),控制台（裝飾）,콘솔(데코),,,Console (Deco),Bảng điều khiển (Trang trí)
ConsoleSmalNPC,Console (Occupied),Konsole NSC,Console PNJ,Terminale NPC,"Consola (Ocupada)",Consola NPC,Console NPC,Konsola NPC,Консоль НИП,コンソール NPC,控制台 NPC,控制台NPC,콘솔 NPC,,,Console NPC,Bảng điều khiển NPC
ControlStation,Control Station,Kontrolleinheit,Poste de contrôle,Stazione di Controllo,"Estación de Control",Estação de Controlo,Estação de Controle,Biurko komputerowe,Станция управления,コントロールステーション,控制站点,控制站,컨트롤 스테이션,,,Controlestation,Trạm điều khiển
ControlStationNPC,Control Station (Occupied),Kontrollstation NPC,Poste de contrôle PNJ,Stazione di Controllo NPC,"Estación de Control (Ocupada)",Estação de Controlo NPC,Estação de Controle NPC,Biurko komputerowe NPC,Станция Управления НИП,コントロールステーション NPC,控制站点 NPC,控制站NPC,컨트롤 스테이션 NPC,,,Controlestation NPC,Trạm điều khiển NPC
DecoBlocks,Furnishings,Mobiliar (Deko-Blöcke),Ameublement (Déco),Arredamento (Deco),"Mobiliario",Mobiliário (Deco),Mobílias (Deco),Umeblowanie (grupa),Интерьер (декор),装飾(Deco),家具 (装饰),傢俱（裝飾）,비품(데코),,,Meubilair (Deco),Nội thất (Trang trí)
DecoBlocks2,Tech Equipment,Technische Geräte (Deko-Blöcke),Équipement technique (Déco),Equipaggiamento Hi-Tech (Deco),"Equipos Tecnológicos",Equipamento Técnico (Deco),Equipamento Técnico (Deco),Sprzęt techniczny (grupa),Техническое оборудование (декор),技術機器(Deco),高科技设备 (装饰),技術設備（裝飾）,기술 장비(데코),,,Technische apperatuur (Deco),Thiết bị Công nghệ (TTri)
ElderberryBushBlueDeco,Akuaberry Bush,Blauer Busch,Buisson bleu,Cespuglio Blu,"Arbusto Akuaberry",Arbusto Azul,Arbusto Azul,Niebieski krzak,Синий куст,ブルーブッシュ,蓝色灌木,藍灌木叢,청색 숲,,,Blauw bosje,Cây bụi xanh
ElderberryBushDeco,Akuaberry Bush,Grüner Busch 02,Buisson vert 02,Cespuglio Verde 02,"Arbusto Akuaberry",Arbusto Verde 02,Arbusto Verde 02,Zielony krzak 02,Зеленый куст 2,グリーンブッシュⅡ,绿色灌木 02,綠灌木叢02,녹색 숲 02,,,Groen bosje 02,Bụi Xanh 02
FantasyPlant1Deco,Lava Plant,Lavapflanze,Plante de lave Alien,Pianta Lavica,"Planta de Lava",Planta Lava,Planta de Lava,Roślina magmowa,Лавоцвет,ラヴァプラント,岩浆树,熔岩植物,용암 식물,,,Lava plant,Nhà máy dung nham
GlowTube01Deco,Glow Tube Flower,Lichtröhrenpflanze,Plante Néon,Fiore a Bulbo Luminescente,"Tubo Luminoso Flor",Flor Tubo Brilho,Flor Tubular Brilhante,Kwiat Jarzeniówki,Трубосветник,グロウチューブフラワー,荧茎树,輝光管花,누리창나무류,,,Gloeibuis bloem,Hoa ống phát sáng
HollywoodJuniperDeco,Juniper Bush,Grüner Busch 01,Buisson vert 01,Cespuglio Verde 01,"Arbusto de Enebro",Arbusto Verde 01,Arbusto Verde 1,Zielony krzak 01,Зеленый куст 1,グリーンブッシュⅠ,绿色灌木 01,綠灌木叢01,녹색 숲 01,,,Groen bosje 01,Bụi Xanh 01
HoloScreen01,Holographic Display,Holo Bildschirm 01,Écran holographique 01,Schermo Olografico 01,"Pantalla Holográfica",Ecrã Holográfico 01,Tela Holográfica 01,Wyświetlacz holograficzny 01,Голографический экран 01,ホログラフィックスクリーンⅠ,全息屏 01,全息螢幕01,홀로그램 스크린 01,,,Holografisch scherm 01,Màn hình ba chiều 01
HoloScreen02,Holographic Radiation Display,Holo Bildschirm 02,Écran holographique 02,Schermo Olografico 02,"Pantalla Holográfica de Radiación",Ecrã Holográfico 02,Tela Holográfica 02,Wyświetlacz holograficzny 02,Голографический экран 02,ホログラフィックスクリーンⅡ,全息屏 02,全息螢幕02,홀로그램 스크린 02,,,Holografisch scherm 02,Màn hình ba chiều 02
HoloScreen03,Holographic Radar Display,Holo Bildschirm 03,Écran holographique 03,Schermo Olografico 03,"Pantalla Holográfica de Radar",Ecrã Holográfico 03,Tela Holográfica 03,Wyświetlacz holograficzny 03,Голографический экран 03,ホログラフィックスクリーンⅢ,全息屏 03,全息螢幕03,홀로그램 스크린 03,,,Holografisch scherm 03,Màn hình ba chiều 03
HoloScreen04,Holographic Terminal,Holo Bildschirm 04,Écran holographique 04,Schermo Olografico 04,"Terminal Holográfico",Ecrã Holográfico 04,Tela Holográfica 04,Wyświetlacz holograficzny 04,Голографический экран 04,ホログラフィックスクリーンⅣ,全息屏 04,全息螢幕04,홀로그램 스크린 04,,,Holografisch scherm 04,Màn hình ba chiều 04
HoloScreen05,Holographic Ship Display,Holo Bildschirm 05,Écran holographique 05,Schermo Olografico 05,"Pantalla Holográfica de Nave",Ecrã Holográfico 05,Tela Holográfica 05,Wyświetlacz holograficzny 05,Голографический экран 05,ホログラフィックスクリーンⅤ,全息屏 05,全息螢幕05,홀로그램 스크린 05,,,Holografisch scherm 05,Màn hình ba chiều 05
IndoorPlant01,Potted Palm,Künstliche Zimmerpflanze 1,Plante artificielle d'intérieur 1,Pianta Artificiale da Interni 1,"Palmera en Maceta",Planta de Interiores Artificial 1,Planta Artificial Interna 1,Sztuczna roślina domowa 1,Искусственное растение 1,観葉植物Ⅰ,人造室内植物 1,人造室內植物1,실내 인공 식물 1,,,Kunstplant 1,Cây cảnh trong nhà 1
IndoorPlant02,Potted Plant,Künstliche Zimmerpflanze 2,Plante artificielle d'intérieur 2,Pianta Artificiale da Interni 2,"Planta en Maceta",Planta de Interiores Artificial 2,Planta Artificial Interna 2,Sztuczna roślina domowa 2,Искусственное растение 2,観葉植物Ⅱ,人造室内植物 2,人造室內植物2,실내 인공 식물 2,,,Kunstplant 2,Cây cảnh trong nhà 2
IndoorPlant03,Potted Plant,Künstliche Zimmerpflanze 3,Plante artificielle d'intérieur 3,Pianta Artificiale da Interni 3,"Planta en Maceta",Planta de Interiores Artificial 3,Planta Artificial Interna 3,Sztuczna roślina domowa 3,Искусственное растение 3,観葉植物Ⅲ,人造室内植物 3,人造室內植物3,실내 인공 식물 3,,,Kunstplant 3,Cây cảnh trong nhà 3
IndoorPlants,Indoor Plants,Künstliche Zimmerpflanzen,Plantes artificielles (Déco),Piante Artificiali (Deco),"Plantas de Interior",Plantas Artificiais (Deco),Planta Artificial (Deco),Rośliny domowe (grupa),Искусственные растения (декор),観葉植物(Deco),人造植物 (装饰),人造植物（裝飾）,인공 식물(데코),,,Kunstplanten (Deco),Cây nhân tạo (TTri)
KitchenCounter,Kitchen Counter,Küchentheke,Cuisine comptoir,Bancone da Cucina,"Mostrador de Cocina",Balcão da Cozinha,Balcão de Cozinha,Lada kuchenna,Кухонный стол,キッチン,厨房柜台,廚房櫃檯,주방 카운터,,,Keukenblad,Kệ trong nhà bếp
KitchenTable,Basic Table,Esstisch mit Bank,Table à manger,Tavolo da Pranzo,"Mesa Básica",Banco Mesa de Jantar,Banco de Mesa de Jantar,Stół obiadowy,Обеденный стол,ダイニングテーブル,餐桌长凳,餐桌長椅,다이닝 테이블 벤치,,,Ettafel bank,Ghế dài trên bàn ăn
LabTable1,Specimen Table,Labortisch 1,Table laboratoire 1,Bancone da Laboratorio 1,"Mesa de Especímenes",Mesa de Laboratório 1,Mesa de Laboratório 1,Stół laboratoryjny 1,Лабораторный стол 1,ラボテーブルⅠ,实验台 1,實驗室桌1,실험실 테이블 1,,,Lab tafel 1,Bảng phòng thí nghiệm 1
LabTable2,Lab Desk,Labortisch 2,Table laboratoire 2,Bancone da Laboratorio 2,"Escritorio de Laboratorio",Mesa de Laboratório 2,Mesa de Laboratório 2,Stół laboratoryjny 2,Лабораторный стол 2,ラボテーブルⅡ,实验台 2,實驗室桌2,실험실 테이블 2,,,Lab tafel 2,Bảng phòng thí nghiệm 2
LabTable3,Lab Table,Labortisch 3,Table laboratoire 3,Bancone da Laboratorio 3,"Mesa de Laboratorio",Mesa de Laboratório 3,Mesa de Laboratório 3,Stół laboratoryjny 3,Лабораторный стол 3,ラボテーブルⅢ,实验台 3,實驗室桌3,실험실 테이블 3,,,Lab tafel 3,Bảng phòng thí nghiệm 3
Level4Prop2,Wide Repository,Ablage 1,Stockage 1,Deposito 1,"Depósito Amplio",Depósito 1,Repositório 1,Składnica 1,Хранилище 1,小型保管庫Ⅰ,贮藏箱 1,倉庫1,저장소 1,,,Bewaarplaats 1,Kho 1
Level4Prop3,Small Repository,Ablage 2,Stockage 2,Deposito 2,"Depósito Pequeño",Depósito 2,Repositório 2,Składnica 2,Хранилище 2,小型保管庫Ⅱ,贮藏箱 2,倉庫2,저장소 2,,,Bewaarplaats 2,Kho 2
Level4Prop4,Large Repository,Ablage 3,Stockage 3,Deposito 3,"Depósito Grande",Depósito 3,Repositório 3,Składnica 3,Хранилище 3,小型保管庫Ⅲ,贮藏箱 3,倉庫3,저장소 3,Mahsen 3,Αποθήκη 3,Bewaarplaats 3,Kho đồ 3
Level5FreezerOpened,Cryo Chamber,Kryogenkammer,Chambre Cryo,Camera Criogenica,"Cámara Criogénica",Câmara Crio,Câmara Crio,Komora kriogeniczna,Криокамера,チャンバー,冷冻箱,冷凍室,극저온 챔버,,,Cryo kamer,Tủ ngủ đông
LockerWShelves,Lockers,Spind,Casier,Armadietto,"Taquillas",Armário,Armário,Szafka,Шкафчик,ロッカー,更衣箱,儲物櫃,로커,,,Kastje,Tủ khoá
OnionFlowerDeco,Mega Onion Flower,Riesenzwiebelpflanze,Fleur oignon Alien,Fiore di Cipolla Gigante,"Flor Mega Cebolla",Mega Flor Cebola,Mega Flor De Cebola,Kwiat Mega Cebuli,Большой Лукоцвет,メガオニオンフラワー,巨型洋葱花,超大洋蔥花,대형 양파꽃,,,Mega uienbloem,Hoa hành tây lớn
OperationTableWDrawers,Medical Cabinet,Operationstisch,Console d'opération,Tavolo Chirurgico,"Gabinete Médico",Mesa de Operações,Mesa de Operações,Stolik operacyjny,Операционный стол,オペレーションデスク,操作台,操作臺,작업대,,,Operatietafel,Bàn điều hành
Props6BoxLarge1,Chilled Cabinet,Box groß 1,Grand container 1,Contenitore Grande 1,"Gabinete Refrigerado",Caixa Grande 1,Caixa Grande 1,Duża skrzynia 1,Ящик большой 1,大型保管庫Ⅰ,大型储物箱 1,大箱子1,박스 대 1,,,Doos groot 1,Hộp lớn 1
Props6BoxLarge2,Chilled Cabinet,Box groß 2,Grand container 2,Contenitore Grande 2,"Gabinete Refrigerado",Caixa Grande 2,Caixa Grande 2,Duża skrzynia 2,Ящик большой 2,大型保管庫Ⅱ,大型储物箱 2,大箱子2,박스 대 2,,,Doos groot 2,Hộp lớn 2
Props6BoxMedium1,Cold Box,Box mittel,Container médium,Contenitore Medio,"Caja Fría",Caixa Média,Caixa Média,Średnia skrzynia,Ящик средний,中型保管庫,中型储物箱,中型箱子,박스 중,,,Doos gemiddeld,Hộp trung bình
ReceptionTable,Reception Table,Empfangstheke,Comptoir Accueil,Tavolo da Reception,"Mesa de Recepción",Mesa de Receção,Mesa de Recepção,Stół recepcyjny,Стойка ресепшен,レセプションテーブル,接待台,接待台,리셉션 테이블,,,Receptie tafel,Bàn tiếp tân
ReceptionTableCorner,Reception Table Corner,Empfangstheke Ecke,Comptoir Accueil courbe,Angolo Tavolo da Reception,"Esquina de Mesa de Recepción",Mesa de Receção Canto,Canto de Mesa de Recepção,Stół recepcyjny - róg,Стойка ресепшен угловая,レセプションコーナーテーブル,接待台拐角,接待台轉角,리셉션 테이블 코너,,,Receptie tafel hoek,Góc bàn tiếp tân
ReceptionTableCornerThin,Reception Table Corner - Thin,Empfangstheke Ecke - schmal,Coin Comptoir Accueil - fin,Angolo Tavolo da Reception - Sottile,"Esquina de Mesa de Recepción - Delgada",Mesa de Receção Canto - Fino,Canto de Mesa de Recepção - Fino,"Stół recepcyjny - róg, pełny",Стойка ресепшен угловая - Тонкая,薄型レセプションコーナーテーブル,接待台拐角 - 单层,接待台轉角- 薄,리셉션 테이블 코너 - 얇음,,,Receptie tafel hoek smal,Góc bàn lễ tân - Mỏng
ReceptionTableNPC,Reception Table (Occupied),Empfangstheke NPC,Comptoir Accueil PNJ,Tavolo da Reception NPC,"Mesa de Recepción (Ocupada)",Mesa de Receção NPC,Mesa de Recepção NPC,Stół recepcyjny NPC,Стойка ресепшен НИП,レセプションテーブル NPC,接待台 NPC,接待台NPC,리셉션 테이블 NPC,,,Receptie tafel NPC,NPC Bàn tiếp tân
ReceptionTableThin,Reception Table - Thin,Empfangstheke - schmal,Comptoir Accueil - fin,Tavolo da Reception - Sottile,"Mesa de Recepción - Delgada",Mesa de Receção - Fino,Mesa de Recepção - Fina,Stół recepcyjny - pełny,Стойка ресепшен - Тонкая,薄型レセプションテーブル,接待台 - 单层,接待台- 薄,리셉션 테이블 - 얇음,,,Receptie tafel smal,Bàn tiếp tân - Mỏng
ScifiBed,Bed,Bett,Lit,Letto,"Cama",Cama,Cama,Łóżko,Кровать,ベッド,床,床,침대,,,Bed,Giường
ScifiChair,Chair,Stuhl,Siège,Sedia,"Silla",Cadeira,Cadeira,Fotel,Кресло,シングルチェア,椅子,椅子,의자,,,Stoel,Cái ghế
ScifiComputerTable,Computer Table,Computertisch,Console déco,Tavolo da Computer,"Mesa de Computadora",Mesa de Computador,Mesa de Computador,Biurko komputerowe,Компьютерный стол,コンピュータテーブル,电脑桌,電腦桌,컴퓨터 테이블,,,Computer tafel,Bàn máy tính
ScifiContainer1,Industrial Cargo Container,Frachtbox 1,Container 1,Contenitore di Stoccaggio 1,"Contenedor de Carga Industrial",Caixa de Carga 1,Container de Carga 1,Skrzynia 1,Ящик хранения 1,cargo BoxⅠ,货物箱 1,貨箱1,화물 상자 1,,,Opslagkist 1,Thùng hàng 1
